;ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo;id_estado;sigla;estado;regiao;pais
648;2004;1;RN;Outros;40857.0;69617;20;RN;Rio Grande do Norte;Nordeste;Brasil
649;2004;1;SP;Outros;311650.0;937538;25;SP;São Paulo;Sudeste;Brasil
650;2004;1;MS;Outros;56881.0;67601;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil
651;2004;1;SC;Outros;226165.0;209380;24;SC;Santa Catarina;Sul;Brasil
652;2004;1;RJ;Outros;70634.0;416128;19;RJ;Rio de Janeiro;Sudeste;Brasil
653;2004;1;TO;Outros;21884.0;19993;27;TO;Tocantins;Norte;Brasil
654;2004;1;CE;Outros;279048.0;118826;6;CE;Ceará;Nordeste;Brasil
655;2004;1;MG;Outros;472339.0;375155;13;MG;Minas Gerais;Sudeste;Brasil
656;2004;1;BA;Outros;212682.0;215666;5;BA;Bahia;Nordeste;Brasil
657;2004;1;PA;Outros;26732.0;75448;14;PA;Pará;Norte;Brasil
658;2004;1;PE;Outros;153387.0;129796;17;PE;Pernambuco;Nordeste;Brasil
659;2004;1;AL;Outros;14543.0;48286;2;AL;Alagoas;Nordeste;Brasil
660;2004;1;PI;Outros;33299.0;35075;18;PI;Piauí;Nordeste;Brasil
661;2004;1;RR;Outros;4827.0;8262;23;RR;Roraima;Norte;Brasil
662;2004;1;AP;Outros;2184.0;5939;3;AP;Amapá;Norte;Brasil
663;2004;1;RS;Outros;306617.0;394582;21;RS;Rio Grande do Sul;Sul;Brasil
664;2004;1;AM;Outros;10118.0;47019;4;AM;Amazonas;Norte;Brasil
665;2004;1;SE;Outros;17164.0;35046;26;SE;Sergipe;Nordeste;Brasil
666;2004;1;RO;Outros;57402.0;25659;22;RO;Rondônia;Norte;Brasil
667;2004;1;PR;Outros;365859.0;258662;16;PR;Paraná;Sul;Brasil
668;2004;1;MA;Outros;53151.0;49767;10;MA;Maranhão;Nordeste;Brasil
669;2004;1;GO;Outros;140452.0;127096;9;GO;Goiás;Centro-Oeste;Brasil
670;2004;1;AC;Outros;9943.0;9428;1;AC;Acre;Norte;Brasil
671;2004;1;ES;Outros;122075.0;78392;8;ES;Espírito Santo;Sudeste;Brasil
672;2004;1;MT;Outros;62843.0;60445;11;MT;Mato Grosso;Centro-Oeste;Brasil
673;2004;1;DF;Outros;11952.0;73881;7;DF;Distrito Federal;Centro-Oeste;Brasil
674;2004;1;PB;Outros;71664.0;51293;15;PB;Paraíba;Nordeste;Brasil
675;2004;2;CE;Outros;280795.0;99069;6;CE;Ceará;Nordeste;Brasil
676;2004;2;PB;Outros;72098.0;45369;15;PB;Paraíba;Nordeste;Brasil
677;2004;2;MT;Outros;63261.0;59898;11;MT;Mato Grosso;Centro-Oeste;Brasil
